Branch,SKU,Product_Name,Category,Current_Stock,Reorder_Point,Max_Stock,Unit_Price_USD
North Branch,PPE-001,Nitrile Examination Gloves (Box/100),PPE,148,200,800,8.99
North Branch,PPE-002,Surgical Face Masks (Box/50),PPE,576,150,600,6.5
North Branch,PPE-003,N95 Respirators (Box/20),PPE,35,100,400,24.99
North Branch,PPE-004,Isolation Gowns Disposable,PPE,393,300,1200,1.75
North Branch,PPE-005,Face Shields Disposable,PPE,125,100,500,2.1
North Branch,INJ-001,Syringes 5ml with Needle,Injection & Infusion,108,150,600,12.5
North Branch,INJ-002,IV Catheters 18G,Injection & Infusion,351,100,400,18.75
North Branch,INJ-003,IV Tubing Sets,Injection & Infusion,269,200,800,1.95
North Branch,INJ-004,Infusion Sets with Filter,Injection & Infusion,53,150,600,2.25
North Branch,WND-001,Gauze Swabs Sterile 4x4 (Pack/10),Wound Care,265,200,900,3.2
North Branch,WND-002,Bandage Rolls 4 inch,Wound Care,107,150,700,1.1
North Branch,WND-003,Surgical Adhesive Tape 1 inch,Wound Care,481,100,500,0.85
North Branch,WND-004,Antiseptic Wipes (Pack/100),Wound Care,161,120,500,5.4
North Branch,GEN-001,Tongue Depressors (Pack/100),General Supplies,101,80,400,2.3
North Branch,GEN-002,Urine Collection Cups,General Supplies,67,200,800,0.45
North Branch,GEN-003,Sharps Containers 1 Gallon,General Supplies,267,60,300,3.75
North Branch,GEN-004,Hand Sanitizer 500ml,General Supplies,127,100,500,4.2
North Branch,GEN-005,Disposable Bed Sheets,General Supplies,112,150,700,1.3
North Branch,GEN-006,Pulse Oximeter Probes Disposable,General Supplies,103,80,350,2.8
North Branch,GEN-007,Oxygen Masks Adult,General Supplies,27,80,350,3.5
South Branch,PPE-001,Nitrile Examination Gloves (Box/100),PPE,744,200,800,8.99
South Branch,PPE-002,Surgical Face Masks (Box/50),PPE,108,150,600,6.5
South Branch,PPE-003,N95 Respirators (Box/20),PPE,127,100,400,24.99
South Branch,PPE-004,Isolation Gowns Disposable,PPE,103,300,1200,1.75
South Branch,PPE-005,Face Shields Disposable,PPE,129,100,500,2.1
South Branch,INJ-001,Syringes 5ml with Needle,Injection & Infusion,567,150,600,12.5
South Branch,INJ-002,IV Catheters 18G,Injection & Infusion,126,100,400,18.75
South Branch,INJ-003,IV Tubing Sets,Injection & Infusion,150,200,800,1.95
South Branch,INJ-004,Infusion Sets with Filter,Injection & Infusion,196,150,600,2.25
South Branch,WND-001,Gauze Swabs Sterile 4x4 (Pack/10),Wound Care,66,200,900,3.2
South Branch,WND-002,Bandage Rolls 4 inch,Wound Care,650,150,700,1.1
South Branch,WND-003,Surgical Adhesive Tape 1 inch,Wound Care,125,100,500,0.85
South Branch,WND-004,Antiseptic Wipes (Pack/100),Wound Care,86,120,500,5.4
South Branch,GEN-001,Tongue Depressors (Pack/100),General Supplies,108,80,400,2.3
South Branch,GEN-002,Urine Collection Cups,General Supplies,770,200,800,0.45
South Branch,GEN-003,Sharps Containers 1 Gallon,General Supplies,46,60,300,3.75
South Branch,GEN-004,Hand Sanitizer 500ml,General Supplies,127,100,500,4.2
South Branch,GEN-005,Disposable Bed Sheets,General Supplies,618,150,700,1.3
South Branch,GEN-006,Pulse Oximeter Probes Disposable,General Supplies,28,80,350,2.8
South Branch,GEN-007,Oxygen Masks Adult,General Supplies,103,80,350,3.5
East Branch,PPE-001,Nitrile Examination Gloves (Box/100),PPE,250,200,800,8.99
